Address,Price $,Type,Size m²,Bedrooms,Bathrooms
"Gharzouz, Jbeil, Mount Lebanon",160000,Land,3300,N/A,N/A
"Dekweneh, El Metn, Mount Lebanon",130000,Office,65,N/A,N/A
"Antelias, El Metn, Mount Lebanon",3100000,Land,2217,N/A,N/A
"Monteverde, El Metn, Mount Lebanon",445000,Apartment,215,3,5
"Hboub, Jbeil, Mount Lebanon",115000,Apartment,118,2,2
"Broumana, El Metn, Mount Lebanon",250000,Apartment,140,2,3
"Al Jamhour, Baabda, Mount Lebanon",340000,Apartment,210,3,4
"Batroun, Batroun, North",3000000,Commercial Building,1773,N/A,N/A
"Rabieh, El Metn, Mount Lebanon",550000,Apartment,340,3,4
"okaybe, Kesrouane, Mount Lebanon",85000,Apartment,135,2,2
"Mazraat Yachouh, El Metn, Mount Lebanon",550000,Apartment,310,4,4
"Sahel Alma, Kesrouane, Mount Lebanon",160000,Apartment,250,3,3
"Mazraat Yachouh, El Metn, Mount Lebanon",650000,Apartment,320,4,4
"Mazraat Yachouh, El Metn, Mount Lebanon",650000,Apartment,320,4,4
"Hboub, Jbeil, Mount Lebanon",155000,Apartment,180,3,3
"Jal el Dib, El Metn, Mount Lebanon",265000,Apartment,260,4,4
"Halat, Jbeil, Mount Lebanon",150000,Apartment,140,3,3
"Hboub, Jbeil, Mount Lebanon",195000,Apartment,130,2,2
"Nabey, El Metn, Mount Lebanon",168000,Apartment,140,3,2
"Nabey, El Metn, Mount Lebanon",150000,Apartment,125,2,2
"Nabey, El Metn, Mount Lebanon",246000,Apartment,205,3,3
"Jbeil, Jbeil, Mount Lebanon",1600000,Commercial Building,800,6,N/A
"Mtayleb, El Metn, Mount Lebanon",680000,Land,995,N/A,N/A
"Achrafieh, Beirut, Beirut",1050000,Apartment,380,4,5
"Rabweh, El Metn, Mount Lebanon",730000,House/Villa,500,4,4
"Achrafieh, Beirut, Beirut",580000,Apartment,212,3,2
"Safra, Kesrouane, Mount Lebanon",85000,Apartment,105,2,2
"Ghedras, Kesrouane, Mount Lebanon",120000,Apartment,240,3,3
"Halat, Jbeil, Mount Lebanon",50000,Chalet,32,1,N/A
"Bhorsaf, El Metn, Mount Lebanon",135000,Apartment,170,2,2
"Achrafieh, Beirut, Beirut",1800000,Apartment,370,3,4
"Achrafieh, Beirut, Beirut",2000000,Apartment,500,4,5
"Louaize, Baabda, Mount Lebanon",750000,Apartment,427,4,5
"Achrafieh, Beirut, Beirut",250000,Office,71,1,N/A
"Zaarour, El Metn, Mount Lebanon",300000,Chalet,90,2,2
"kfarhbeib, Kesrouane, Mount Lebanon",450000,Apartment,260,3,5
"Mazraat Yachouh, El Metn, Mount Lebanon",165000,Warehouse,300,1,N/A
"Fiyadiye, Baabda, Mount Lebanon",160000,Apartment,137,2,4
"Down Town, Beirut, Beirut",1200000,Apartment,235,2,3
"Aatchane, El Metn, Mount Lebanon",209000,Apartment,130,3,3
"Aatchane, El Metn, Mount Lebanon",242500,Apartment,136,3,3
"Aatchane, El Metn, Mount Lebanon",205500,Apartment,137,3,3
"Blat, Jbeil, Mount Lebanon",135000,Land,760,N/A,N/A
"Baabdat, El Metn, Mount Lebanon",140000,Apartment,180,3,3
"Tabarja, Kesrouane, Mount Lebanon",550000,Apartment,110,2,2
"Adma, Kesrouane, Mount Lebanon",2000000,Land,1901,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",135000,Apartment,120,2,2
"Mastita, Jbeil, Mount Lebanon",120000,Apartment,145,3,2
"Hazmieh, Baabda, Mount Lebanon",2950000,Land,1107,N/A,N/A
"Achrafieh, Beirut, Beirut",555000,Office,222,2,N/A
"Antelias, El Metn, Mount Lebanon",120000,Apartment,170,2,3
"New Rawda, El Metn, Mount Lebanon",125000,Apartment,150,3,2
"Achrafieh, Beirut, Beirut",785000,Office,224,N/A,N/A
"Monteverde, El Metn, Mount Lebanon",917600,Land,1147,N/A,N/A
"Kaslik, Kesrouane, Mount Lebanon",215000,Apartment,160,2,2
"Kfour, Kesrouane, Mount Lebanon",800000,Residential Building,800,N/A,N/A
"Aamchit, Jbeil, Mount Lebanon",90000,Apartment,138,2,2
"Dik El Mehdi, El Metn, Mount Lebanon",310000,Apartment,205,3,3
"Mechmech, Jbeil, Mount Lebanon",150000,Land,2600,N/A,N/A
"Kfoun, Jbeil, Mount Lebanon",75000,Land,1500,N/A,N/A
"Batroun, Batroun, North",1900000,Land,2638,N/A,N/A
"Monteverde, El Metn, Mount Lebanon",80000,Office,60,1,N/A
"Rabweh, El Metn, Mount Lebanon",600000,Apartment,300,3,4
"Jal el Dib, El Metn, Mount Lebanon",90000,Shop,30,N/A,N/A
"Jal el Dib, El Metn, Mount Lebanon",60000,Shop,20,N/A,N/A
"Zalka, El Metn, Mount Lebanon",320000,Warehouse,376,N/A,N/A
"Douar, El Metn, Mount Lebanon",109000,Apartment,130,3,2
"Mazraat Yachouh, El Metn, Mount Lebanon",430000,Apartment,250,3,4
"chnaniir, Kesrouane, Mount Lebanon",1500000,Land,10000,N/A,N/A
"Adma, Kesrouane, Mount Lebanon",15000000,Land,10000,N/A,N/A
"Ghazir, Kesrouane, Mount Lebanon",2500000,Land,2791,N/A,N/A
"Achrafieh, Beirut, Beirut",900000,Apartment,280,3,4
"Adma, Kesrouane, Mount Lebanon",1500000,Land,1004,N/A,N/A
"Aitat, Aley, Mount Lebanon",430000,Land,3460,N/A,N/A
"Achrafieh, Beirut, Beirut",500000,Apartment,150,2,3
"Bouchrieh, El Metn, Mount Lebanon",270000,Apartment,330,3,3
"Ras Beirut, Beirut, Beirut",850000,Apartment,350,3,3
"Batroun, Batroun, North",105000,Apartment,150,3,2
"Batroun, Batroun, North",175000,Apartment,175,3,3
"Jeita, Kesrouane, Mount Lebanon",475000,Land,1030,N/A,N/A
"Adma, Kesrouane, Mount Lebanon",760000,Land,1080,N/A,N/A
"Adma, Kesrouane, Mount Lebanon",720000,Land,1021,N/A,N/A
"Baabda, Baabda, Mount Lebanon",850000,Apartment,300,3,5
"Ras Beirut, Beirut, Beirut",795000,Apartment,280,3,3
"Monteverde, El Metn, Mount Lebanon",820000,Apartment,486,4,7
"Bikfaya, El Metn, Mount Lebanon",814000,Land,3700,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",212000,Land,3255,N/A,N/A
"Chabtine, Batroun, North",100000,Land,1280,N/A,N/A
"Zouk Mikael, Kesrouane, Mount Lebanon",156000,Apartment,130,2,2
"Halat, Jbeil, Mount Lebanon",165000,Apartment,180,3,4
"Fatqa, Kesrouane, Mount Lebanon",1300000,Land,4200,N/A,N/A
"Jal el Dib, El Metn, Mount Lebanon",175000,Apartment,130,3,3
"Ras Beirut, Beirut, Beirut",155000,Warehouse,140,N/A,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon",500000,Shop,500,2,N/A
"Ghadir, Kesrouane, Mount Lebanon",4600000,Land,6019,3,3
"Batroun, Batroun, North",255000,Land,1279,N/A,N/A
"Ain Saadeh, El Metn, Mount Lebanon",325000,Apartment,200,4,4
"Ras Beirut, Beirut, Beirut",1200000,Apartment,323,4,5
"Sin El Fil, El Metn, Mount Lebanon",96000,Office,96,1,N/A
"Zouk Mikael, Kesrouane, Mount Lebanon",175000,Office,115,3,N/A
"Mreijat, Zahle, Bekaa",220000,Land,900,N/A,N/A
"Ras Beirut, Beirut, Beirut",800000,Office,256,3,N/A
"Ajaltoun, Kesrouane, Mount Lebanon",350000,Land,835,N/A,N/A
"Monteverde, El Metn, Mount Lebanon",400000,Apartment,200,3,4
"Horsh Tabet, El Metn, Mount Lebanon",110000,Office,50,1,N/A
"Batroun, Batroun, North",140000,Office,75,N/A,N/A
"Batroun, Batroun, North",233000,Warehouse,125,N/A,N/A
"Batroun, Batroun, North",365000,Warehouse,195,N/A,N/A
"Batroun, Batroun, North",112000,Office,60,N/A,N/A
"Batroun, Batroun, North",832000,Office,83,N/A,N/A
"Batroun, Batroun, North",820000,Shop,255,N/A,N/A
"Batroun, Batroun, North",109000,Office,58,N/A,N/A
"Batroun, Batroun, North",230000,Shop,72,N/A,N/A
"Batroun, Batroun, North",165000,Office,88,N/A,N/A
"Batroun, Batroun, North",235000,Apartment,125,2,3
"Ain Saadeh, El Metn, Mount Lebanon",410000,Apartment,315,2,3
"Ain Saadeh, El Metn, Mount Lebanon",390000,Apartment,350,3,4
"Fakra, Kesrouane, Mount Lebanon",900000,Land,800,N/A,N/A
"Achrafieh, Beirut, Beirut",450000,Apartment,185,3,3
"Baabda, Baabda, Mount Lebanon",255000,Warehouse,300,1,N/A
"Lehfed, Jbeil, Mount Lebanon",350000,House/Villa,1400,N/A,N/A
"Adonis, Kesrouane, Mount Lebanon",220000,Warehouse,245,3,N/A
"Batroun, Batroun, North",620000,Land,603,N/A,N/A
"Dekweneh, El Metn, Mount Lebanon",1500000,Land,1056,N/A,N/A
"Blat, Jbeil, Mount Lebanon",825000,Land,8220,N/A,N/A
"Ras Beirut, Beirut, Beirut",1200000,Apartment,410,3,4
"Achrafieh, Beirut, Beirut",400000,Apartment,170,3,3
"Achrafieh, Beirut, Beirut",675000,Apartment,185,2,4
"Chwaya, El Metn, Mount Lebanon",500000,Land,1005,N/A,N/A
"Mansourieh, El Metn, Mount Lebanon",220000,Apartment,200,3,3
"Mansourieh, El Metn, Mount Lebanon",250000,Apartment,190,3,3
"Jbeil, Jbeil, Mount Lebanon",625000,Apartment,180,2,2
"Hboub, Jbeil, Mount Lebanon",150000,Apartment,165,3,3
"Jbeil, Jbeil, Mount Lebanon",140000,Apartment,140,3,3
"Antelias, El Metn, Mount Lebanon",5500000,Land,2103,N/A,N/A
"Antelias, El Metn, Mount Lebanon",1800000,Land,606,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",150000,Land,2830,N/A,N/A
"Mkalles, El Metn, Mount Lebanon",350000,Shop,150,1,N/A
"Faraya, Kesrouane, Mount Lebanon",450000,Land,825,N/A,N/A
"Hboub, Jbeil, Mount Lebanon",205000,Apartment,180,3,4
"Mansourieh, El Metn, Mount Lebanon",195000,Apartment,105,2,3
"Edde, Jbeil, Mount Lebanon",170000,Land,1561,N/A,N/A
"Broumana, El Metn, Mount Lebanon",700000,Land,1547,N/A,N/A
"kfarhbeib, Kesrouane, Mount Lebanon",3075000,Commercial Building,580,32,N/A
"Blat, Jbeil, Mount Lebanon",125000,Land,836,N/A,N/A
"Fidar, Jbeil, Mount Lebanon",850000,House/Villa,555,4,4
"Mar Takla, Baabda, Mount Lebanon",160000,Apartment,130,2,3
"Sin El Fil, El Metn, Mount Lebanon",160000,Shop,75,1,N/A
"Deir El Ahmar, Baalbeck, Bekaa",430000,Land,12598,N/A,N/A
"Broumana, El Metn, Mount Lebanon",1400000,Land,2300,N/A,N/A
"Monteverde, El Metn, Mount Lebanon",750000,Apartment,300,3,4
"Jbeil, Jbeil, Mount Lebanon",171000,Apartment,155,3,3
"Ain El Rihani, Kesrouane, Mount Lebanon",450000,Land,900,N/A,N/A
"Fatqa, Kesrouane, Mount Lebanon",245000,Apartment,245,4,4
"Achrafieh, Beirut, Beirut",650000,Apartment,241,N/A,N/A
"Bentaael, Jbeil, Mount Lebanon",175000,Apartment,180,3,3
"Beit Meri, El Metn, Mount Lebanon",1900000,Shop,1000,N/A,N/A
"Baabdat, El Metn, Mount Lebanon",375000,Apartment,240,3,4
"Baabdat, El Metn, Mount Lebanon",260000,Apartment,170,3,4
"Nahr Ibrahim, Jbeil, Mount Lebanon",135000,Land,3935,N/A,N/A
"Monteverde, El Metn, Mount Lebanon",440000,Apartment,210,3,4
"Monteverde, El Metn, Mount Lebanon",690000,Apartment,314,3,6
"Monteverde, El Metn, Mount Lebanon",465000,Apartment,190,3,4
"Halat, Jbeil, Mount Lebanon",95000,Apartment,115,2,3
"Berbara, Batroun, North",300000,Land,1200,N/A,N/A
"Berbara, Batroun, North",1075000,Land,4300,N/A,N/A
"Berbara, Batroun, North",516750,Land,2067,N/A,N/A
"Berbara, Batroun, North",1150000,Land,4600,N/A,N/A
"Monsef, Jbeil, Mount Lebanon",6110000,Land,9400,N/A,N/A
"Edde, Jbeil, Mount Lebanon",270000,Land,1340,N/A,N/A
"Halat, Jbeil, Mount Lebanon",350000,Apartment,310,4,3
"Beit Meri, El Metn, Mount Lebanon",165000,Apartment,110,2,3
"Beit Meri, El Metn, Mount Lebanon",328000,Apartment,170,3,4
"Beit Meri, El Metn, Mount Lebanon",258400,Apartment,170,3,4
"Aamchit, Jbeil, Mount Lebanon",220000,Apartment,160,3,3
"Achrafieh, Beirut, Beirut",370000,Apartment,250,3,3
"Ain El Rimmaneh, Aley, Mount Lebanon",250000,Apartment,162,3,3
"Mrouj, El Metn, Mount Lebanon",295000,Land,1000,N/A,N/A
"Baabdat, El Metn, Mount Lebanon",200000,Apartment,160,3,3
"Hasbaya, Hasbaya, Nabatieh",69500,Land,760,N/A,N/A
"Aamchit, Jbeil, Mount Lebanon",80000,Apartment,100,2,1
"Mansourieh, El Metn, Mount Lebanon",140000,Shop,80,1,N/A
"Monteverde, El Metn, Mount Lebanon",850000,Apartment,390,4,6
"Mansourieh, El Metn, Mount Lebanon",200000,Apartment,180,3,4
"Mansourieh, El Metn, Mount Lebanon",150000,Apartment,130,2,2
"Batha, Kesrouane, Mount Lebanon",420000,Land,2322,N/A,N/A
"Sin El Fil, El Metn, Mount Lebanon",550000,Office,225,1,N/A
"Zouk Mikael, Kesrouane, Mount Lebanon",215000,Shop,80,1,N/A
"Lehfed, Jbeil, Mount Lebanon",70000,Land,1000,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",53000,Land,533,N/A,N/A
"Fakra, Kesrouane, Mount Lebanon",375000,Chalet,120,2,2
"Achrafieh, Beirut, Beirut",200000,Shop,71,1,1
"kfarhbeib, Kesrouane, Mount Lebanon",600000,Land,1239,N/A,N/A
"Rabieh, El Metn, Mount Lebanon",2700000,Land,915,N/A,N/A
"Ajaltoun, Kesrouane, Mount Lebanon",175000,Land,1250,N/A,N/A
"Mansourieh, El Metn, Mount Lebanon",208000,Apartment,122,2,3
"Chouf, Chouf, Mount Lebanon",60000,Land,300,N/A,N/A
"Jnah, Beirut, Beirut",1150000,Chalet,95,1,2
"Fatqa, Kesrouane, Mount Lebanon",95000,Apartment,100,2,2
"Zalka, El Metn, Mount Lebanon",154000,Apartment,165,3,2
"Jounieh, Kesrouane, Mount Lebanon",385000,Apartment,250,3,3
"Baabdat, El Metn, Mount Lebanon",230000,Apartment,110,2,3
"Mradiye, Kesrouane, Mount Lebanon",95000,Land,900,N/A,N/A
"Mar Moussa, El Metn, Mount Lebanon",220000,Apartment,160,3,2
"Kfoun, Jbeil, Mount Lebanon",500000,Land,3000,N/A,N/A
"Blat, Jbeil, Mount Lebanon",135000,Apartment,110,2,2
"Haqel, Jbeil, Mount Lebanon",65000,Land,530,N/A,N/A
"Fidar, Jbeil, Mount Lebanon",400000,Land,810,N/A,N/A
"Batroun, Batroun, North",710000,House/Villa,269,3,5
"Dbayeh, El Metn, Mount Lebanon",400000,Apartment,300,3,3
"Mansourieh, El Metn, Mount Lebanon",2600000,Land,4000,N/A,N/A
"Shayle, Kesrouane, Mount Lebanon",245000,Apartment,188,3,3
"Tabarja, Kesrouane, Mount Lebanon",650000,Chalet,85,2,2
"Jeita, Kesrouane, Mount Lebanon",135000,Warehouse,178,1,N/A
"Jeita, Kesrouane, Mount Lebanon",220000,Shop,273,1,N/A
"bakish, Kesrouane, Mount Lebanon",240000,Land,1800,N/A,N/A
"Kfour, Kesrouane, Mount Lebanon",185000,Land,702,N/A,N/A
"Dbayeh, El Metn, Mount Lebanon",750000,Apartment,180,2,3
"Bsalim, El Metn, Mount Lebanon",250000,Apartment,155,3,3
"Dbayeh, El Metn, Mount Lebanon",700000,Land,592,N/A,N/A
"Jounieh, Kesrouane, Mount Lebanon",165000,Chalet,85,1,1
"Bikfaya, El Metn, Mount Lebanon",680000,Land,750,N/A,N/A
"Shayle, Kesrouane, Mount Lebanon",250000,Apartment,300,3,4
"Naccache, El Metn, Mount Lebanon",600000,Shop,461,N/A,N/A
"Naccache, El Metn, Mount Lebanon",800000,Land,755,N/A,N/A
"Naccache, El Metn, Mount Lebanon",1500000,Shop,757,N/A,N/A
"Faraya, Kesrouane, Mount Lebanon",165000,Chalet,90,2,1
"Mayrouba, Kesrouane, Mount Lebanon",210000,Land,586,N/A,N/A
"Sin El Fil, El Metn, Mount Lebanon",1000000,Office,370,4,N/A
"Aamchit, Jbeil, Mount Lebanon",85000,Apartment,120,2,2
"Jbeil, Jbeil, Mount Lebanon",250000,Apartment,220,3,3
"Batroun, Batroun, North",140000,Apartment,165,3,3
"Ras Beirut, Beirut, Beirut",240000,Apartment,257,4,3
"Dora, El Metn, Mount Lebanon",1200000,Shop,600,3,N/A
"Aatchane, El Metn, Mount Lebanon",700000,Apartment,270,3,3
"kfarhbeib, Kesrouane, Mount Lebanon",550000,Apartment,240,3,5
"kfarhbeib, Kesrouane, Mount Lebanon",450000,Apartment,240,3,5
"kfarhbeib, Kesrouane, Mount Lebanon",500000,Apartment,245,3,5
"Mechmech, Jbeil, Mount Lebanon",90000,Apartment,100,2,2
"Aamchit, Jbeil, Mount Lebanon",145000,Apartment,150,3,2
"Aoukar, El Metn, Mount Lebanon",245000,Apartment,350,3,5
"Haret Sakher, Kesrouane, Mount Lebanon",160000,Apartment,220,3,3
"Aannaya, Jbeil, Mount Lebanon",110000,Land,1400,N/A,N/A
"Down Town, Beirut, Beirut",6405000,Shop,867,4,1
"Down Town, Beirut, Beirut",7935000,Shop,972,1,N/A
"Jeita, Kesrouane, Mount Lebanon",285000,Apartment,200,2,5
"Badaro, Beirut, Beirut",800000,Apartment,350,3,6
"Zalka, El Metn, Mount Lebanon",290000,Shop,140,2,N/A
"Batroun, Batroun, North",300000,Land,8506,N/A,N/A
"Tannourine, Batroun, North",250000,Land,1130,N/A,N/A
"Deir Al Qamar, Chouf, Mount Lebanon",666300,Land,4442,N/A,N/A
"Aamchit, Jbeil, Mount Lebanon",1400000,Commercial Building,1000,N/A,N/A
"Achrafieh, Beirut, Beirut",525000,Office,150,N/A,N/A
"Achrafieh, Beirut, Beirut",705000,Office,201,N/A,N/A
"Adma, Kesrouane, Mount Lebanon",350000,Shop,180,2,N/A
"Monteverde, El Metn, Mount Lebanon",353500,Apartment,211,3,3
"Monteverde, El Metn, Mount Lebanon",363500,Apartment,207,3,3
"Ras Beirut, Beirut, Beirut",800000,Apartment,245,4,3
"Monteverde, El Metn, Mount Lebanon",316500,Apartment,211,3,3
"Monteverde, El Metn, Mount Lebanon",403000,Apartment,207,3,3
"Monteverde, El Metn, Mount Lebanon",648000,Apartment,360,4,5
"Monteverde, El Metn, Mount Lebanon",600600,Apartment,309,4,5
"Adma, Kesrouane, Mount Lebanon",180000,Apartment,160,3,3
"Ras Beirut, Beirut, Beirut",385000,Apartment,190,3,2
"Adma, Kesrouane, Mount Lebanon",250000,Apartment,200,3,4
"Achrafieh, Beirut, Beirut",180000,Apartment,140,3,2
"Ajaltoun, Kesrouane, Mount Lebanon",580000,Land,1790,N/A,N/A
"Laqlouq, Jbeil, Mount Lebanon",60000,Land,1000,N/A,N/A
"Aamchit, Jbeil, Mount Lebanon",225000,Apartment,202,3,4
"Jbeil, Jbeil, Mount Lebanon",165000,Apartment,150,3,2
"Jbeil, Jbeil, Mount Lebanon",680000,Land,810,N/A,N/A
"Aamchit, Jbeil, Mount Lebanon",500000,Land,1988,N/A,N/A
"Halat, Jbeil, Mount Lebanon",150000,Apartment,146,2,2
"Jdeideh, El Metn, Mount Lebanon",225000,Apartment,190,3,3
"Sahel Alma, Kesrouane, Mount Lebanon",620000,Land,785,N/A,N/A
"Sarba, Kesrouane, Mount Lebanon",450000,Warehouse,1000,2,N/A
"Aamchit, Jbeil, Mount Lebanon",80000,Apartment,105,3,2
"Aamchit, Jbeil, Mount Lebanon",185000,Apartment,150,2,3
"Ghosta, Kesrouane, Mount Lebanon",250000,Land,1750,N/A,N/A
"Achrafieh, Beirut, Beirut",600000,Shop,150,1,N/A
"Aannaya, Jbeil, Mount Lebanon",65000,Chalet,65,1,1
"Mkalles, El Metn, Mount Lebanon",250000,Office,150,2,N/A
"Jbeil, Jbeil, Mount Lebanon",250000,Apartment,300,3,3
"Jbeil, Jbeil, Mount Lebanon",100000,Office,65,1,N/A
"Haqel, Jbeil, Mount Lebanon",90000,House/Villa,120,2,1
"Jdayel, Jbeil, Mount Lebanon",185000,Apartment,133,3,3
"Jdayel, Jbeil, Mount Lebanon",190000,Apartment,133,3,3
"Fatqa, Kesrouane, Mount Lebanon",200000,Office,65,2,N/A
"Fatqa, Kesrouane, Mount Lebanon",175000,Office,60,2,N/A
"Fatqa, Kesrouane, Mount Lebanon",140000,Office,100,2,N/A
"Fatqa, Kesrouane, Mount Lebanon",500000,Residential Building,1000,N/A,N/A
"Fatqa, Kesrouane, Mount Lebanon",375000,Land,915,N/A,N/A
"Rabieh, El Metn, Mount Lebanon",225000,Apartment,175,3,3
"Rabieh, El Metn, Mount Lebanon",475000,Warehouse,700,1,N/A
"Achkout, Kesrouane, Mount Lebanon",200000,Land,1040,N/A,N/A
"Beit Meri, El Metn, Mount Lebanon",235000,Apartment,180,3,3
"Deir Al Qamar, Chouf, Mount Lebanon",230000,Land,1100,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",185000,Apartment,174,3,3
"Halat, Jbeil, Mount Lebanon",1415000,Land,4050,N/A,N/A
"Hboub, Jbeil, Mount Lebanon",410000,Land,1688,N/A,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon",350000,Shop,225,1,N/A
"Ajaltoun, Kesrouane, Mount Lebanon",375000,Land,1155,N/A,N/A
"Baabda, Baabda, Mount Lebanon",1700000,Apartment,500,4,6
"Mechmech, Jbeil, Mount Lebanon",120000,Land,1764,N/A,N/A
"Dlebta, Kesrouane, Mount Lebanon",150000,Land,652,N/A,N/A
"Haqel, Jbeil, Mount Lebanon",2080000,Land,51900,N/A,N/A
"Fidar, Jbeil, Mount Lebanon",595000,Land,1064,N/A,N/A
"Fidar, Jbeil, Mount Lebanon",430000,Land,1201,N/A,N/A
"Fidar, Jbeil, Mount Lebanon",483000,Land,1344,N/A,N/A
"Beit El Kikko, El Metn, Mount Lebanon",129000,Apartment,125,2,2
"Baabdat, El Metn, Mount Lebanon",547500,Land,1565,N/A,N/A
"Baabdat, El Metn, Mount Lebanon",549500,Land,1570,N/A,N/A
"Baabdat, El Metn, Mount Lebanon",1100000,Land,3135,N/A,N/A
"Baabdat, El Metn, Mount Lebanon",280000,Apartment,270,3,3
"Baabdat, El Metn, Mount Lebanon",1800000,House/Villa,650,4,5
"Batroun, Batroun, North",415000,Land,510,N/A,N/A
"Dbayeh, El Metn, Mount Lebanon",480000,Office,125,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",375000,Land,3740,N/A,N/A
"Hosrayel, Jbeil, Mount Lebanon",120000,Apartment,120,3,3
"Monteverde, El Metn, Mount Lebanon",380000,Apartment,180,3,4
"Adma, Kesrouane, Mount Lebanon",320000,Apartment,180,3,3
"Raachine, Kesrouane, Mount Lebanon",200000,Land,1280,N/A,N/A
"Ghine, Kesrouane, Mount Lebanon",140000,Land,875,N/A,N/A
"Batroun, Batroun, North",800000,Land,1826,N/A,N/A
"Batroun, Batroun, North",280000,Land,1261,N/A,N/A
"Achrafieh, Beirut, Beirut",315000,Apartment,105,2,3
"Bouchrieh, El Metn, Mount Lebanon",4000000,Land,1208,N/A,N/A
"Laqlouq, Jbeil, Mount Lebanon",191000,Land,2700,N/A,N/A
"Jbeil, Jbeil, Mount Lebanon",500000,Land,1450,N/A,N/A
"Shayle, Kesrouane, Mount Lebanon",250000,Apartment,185,3,3
"Adma, Kesrouane, Mount Lebanon",700000,Apartment,327,3,4
"Edde, Jbeil, Mount Lebanon",300000,Shop,300,1,N/A
"Edde, Jbeil, Mount Lebanon",500000,Land,2000,N/A,N/A
"Sin El Fil, El Metn, Mount Lebanon",4260000,Land,2130,N/A,N/A
"Hboub, Jbeil, Mount Lebanon",155000,Apartment,150,3,2
"Hazmieh, Baabda, Mount Lebanon",1725000,Land,1150,N/A,N/A
"Hazmieh, Baabda, Mount Lebanon",1500000,Land,1000,N/A,N/A
"Hazmieh, Baabda, Mount Lebanon",1500000,Land,1000,N/A,N/A
"Yarzeh, Baabda, Mount Lebanon",2125500,Land,1417,N/A,N/A
"Ras Beirut, Beirut, Beirut",650000,Apartment,350,4,4
"Faytroun, Kesrouane, Mount Lebanon",225000,Chalet,110,2,2
"Beit Meri, El Metn, Mount Lebanon",277000,Apartment,180,3,3
"Beit Meri, El Metn, Mount Lebanon",300000,Apartment,220,3,3
"Ras Beirut, Beirut, Beirut",800000,Apartment,340,3,3
"Laqlouq, Jbeil, Mount Lebanon",115000,Land,900,N/A,N/A
"Ghine, Kesrouane, Mount Lebanon",140000,Land,817,N/A,N/A
"Rabieh, El Metn, Mount Lebanon",2400000,Apartment,1200,5,8
"Aamchit, Jbeil, Mount Lebanon",93000,Office,93,1,N/A
"Mansourieh, El Metn, Mount Lebanon",185000,Office,180,1,N/A
"Mansourieh, El Metn, Mount Lebanon",285000,Office,255,1,N/A
"Jal el Dib, El Metn, Mount Lebanon",145000,Office,90,1,N/A
"Laqlouq, Jbeil, Mount Lebanon",375000,House/Villa,250,3,3
"Jaj, Jbeil, Mount Lebanon",290000,Land,11620,N/A,N/A
"Fakra, Kesrouane, Mount Lebanon",195000,Chalet,70,1,1
"Dik El Mehdi, El Metn, Mount Lebanon",270000,Apartment,250,3,4
"Shayle, Kesrouane, Mount Lebanon",200000,Apartment,214,3,3
"Jnah, Beirut, Beirut",2000000,Apartment,350,4,4
"Hboub, Jbeil, Mount Lebanon",95000,Apartment,105,2,2
"Bouchrieh, El Metn, Mount Lebanon",340000,Factory,300,1,N/A
"Mansourieh, El Metn, Mount Lebanon",230000,Apartment,200,3,3
"Mansourieh, El Metn, Mount Lebanon",140000,Apartment,80,1,1
"Mansourieh, El Metn, Mount Lebanon",500000,Apartment,400,4,4
"Mansourieh, El Metn, Mount Lebanon",250000,Apartment,200,3,3
"Kaslik, Kesrouane, Mount Lebanon",600000,Apartment,300,4,3
"Halat, Jbeil, Mount Lebanon",100000,Apartment,110,2,2
"Jeita, Kesrouane, Mount Lebanon",3500000,House/Villa,2000,3,3
"Haret Sakher, Kesrouane, Mount Lebanon",80000,Warehouse,165,1,N/A
"Ghosta, Kesrouane, Mount Lebanon",300000,Land,840,N/A,N/A
"Nahr El Mot, El Metn, Mount Lebanon",120000,Warehouse,210,N/A,N/A
"Klayaat, Kesrouane, Mount Lebanon",95000,Apartment,165,3,3
"Ras Beirut, Beirut, Beirut",500000,Apartment,215,3,2
"Ras Beirut, Beirut, Beirut",270000,Shop,217,1,N/A
"Baabdat, El Metn, Mount Lebanon",1200000,House/Villa,650,4,3
"Mechmech, Jbeil, Mount Lebanon",500000,Land,11000,N/A,N/A
"Dik El Mehdi, El Metn, Mount Lebanon",280000,Apartment,225,4,4
"Blat, Jbeil, Mount Lebanon",170000,Apartment,300,4,4
"Mar Takla, Baabda, Mount Lebanon",128000,Apartment,120,1,2
"Adonis, Kesrouane, Mount Lebanon",120000,Office,100,1,N/A
"Qartaboun, Jbeil, Mount Lebanon",150000,Apartment,148,3,3
"Braij, Jbeil, Mount Lebanon",100000,Apartment,115,2,2
"Baabdat, El Metn, Mount Lebanon",425000,Apartment,320,3,6
"Blat, Jbeil, Mount Lebanon",125000,Apartment,140,3,3
"Beit Meri, El Metn, Mount Lebanon",950000,Land,790,N/A,N/A
"Aamchit, Jbeil, Mount Lebanon",170000,Land,680,N/A,N/A
