Address,Price,Type,Size,Bedrooms,Bathrooms
"Down Town, Beirut, Beirut","$700,000",Shop,70 m²,1,N/A
"Jbeil, Jbeil, Mount Lebanon","$280,000",Apartment,208 m²,3,3
"Zaarour, El Metn, Mount Lebanon","$650,000",House/Villa,450 m²,3,3
"Batroun, Batroun, North","$250,000",Apartment,98 m²,3,1
"Batroun, Batroun, North","$120,000",Apartment,157 m²,3,2
"Batroun, Batroun, North","$370,000",House/Villa,220 m²,2,2
"Naccache, El Metn, Mount Lebanon","$250,000",Apartment,220 m²,3,3
"Kfar Aabida, Batroun, North","$350,000",Land,"1,409 m²",N/A,N/A
"Haqel, Jbeil, Mount Lebanon","$60,000",Land,895 m²,N/A,N/A
"Batroun, Batroun, North","$154,000",Apartment,225 m²,3,2
"Dbayeh, El Metn, Mount Lebanon","$295,000",Office,85 m²,1,N/A
"Mtayleb, El Metn, Mount Lebanon","$350,000",Apartment,280 m²,3,3
"Louaize, Baabda, Mount Lebanon","$250,000",Apartment,190 m²,2,3
"Louaize, Baabda, Mount Lebanon","$225,000",Apartment,170 m²,3,3
"Louaize, Baabda, Mount Lebanon","$250,000",Apartment,190 m²,3,3
"Dbayeh, El Metn, Mount Lebanon","$860,600",Office,330 m²,8,N/A
"Dbayeh, El Metn, Mount Lebanon","$150,000",Apartment,150 m²,2,2
"Rabweh, El Metn, Mount Lebanon","$185,000",Apartment,220 m²,3,3
"Beit Meri, El Metn, Mount Lebanon","$310,000",Land,600 m²,N/A,N/A
"Achrafieh, Beirut, Beirut","$650,000",Apartment,186 m²,3,4
"Achrafieh, Beirut, Beirut","$600,000",Apartment,168 m²,3,4
"Hboub, Jbeil, Mount Lebanon","$138,000",Apartment,150 m²,3,3
"Achrafieh, Beirut, Beirut","$350,000",Apartment,175 m²,3,2
"Laqlouq, Jbeil, Mount Lebanon","$130,000",Chalet,105 m²,2,2
"Batroun, Batroun, North","$600,000",Land,"22,670 m²",N/A,N/A
"Beit Meri, El Metn, Mount Lebanon","$4,250,000",Land,"4,110 m²",N/A,N/A
"Achrafieh, Beirut, Beirut","$200,000",Apartment,140 m²,2,2
"Down Town, Beirut, Beirut","$800,000",Apartment,170 m²,2,3
"Limassol, Limassol, Limassol","$375,000",Apartment,77 m²,2,2
"Limassol, Limassol, Limassol","$250,000",Apartment,77 m²,2,2
"Kfarzebian, Kesrouane, Mount Lebanon","$350,000",Land,560 m²,N/A,N/A
"Baabda, Baabda, Mount Lebanon","$290,000",Land,585 m²,N/A,N/A
"Tabarja, Kesrouane, Mount Lebanon","$110,000",Chalet,30 m²,1,1
"Fatqa, Kesrouane, Mount Lebanon","$330,000",Apartment,380 m²,3,5
"Ain Najem, El Metn, Mount Lebanon","$1,451,200",Land,"1,814 m²",N/A,N/A
"Adma, Kesrouane, Mount Lebanon","$240,000",Apartment,170 m²,3,4
"Batroun, Batroun, North","$160,000",Apartment,155 m²,4,3
"Batroun, Batroun, North","$140,000",Apartment,132 m²,3,2
"okaybe, Kesrouane, Mount Lebanon","$100,000",Land,800 m²,N/A,N/A
"Halat, Jbeil, Mount Lebanon","$130,000",Apartment,155 m²,3,3
"Aamchit, Jbeil, Mount Lebanon","$105,000",Apartment,186 m²,2,2
"Zouk Mosbeh, Kesrouane, Mount Lebanon","$4,500,000",Commercial Building,"4,350 m²",N/A,N/A
"Dbayeh, El Metn, Mount Lebanon","$618,800",Office,280 m²,6,N/A
"Mansourieh, El Metn, Mount Lebanon","$195,000",Apartment,250 m²,3,3
"Mansourieh, El Metn, Mount Lebanon","$230,000",Shop,207 m²,1,N/A
"Mansourieh, El Metn, Mount Lebanon","$190,000",Shop,170 m²,1,N/A
"Mansourieh, El Metn, Mount Lebanon","$1,900,000",Apartment,750 m²,4,5
"Tannourine, Batroun, North","$55,000",Land,828 m²,N/A,N/A
"Chikhane, Jbeil, Mount Lebanon","$130,000",Land,"1,719 m²",N/A,N/A
"Hboub, Jbeil, Mount Lebanon","$205,000",Apartment,208 m²,3,3
"Shayle, Kesrouane, Mount Lebanon","$170,000",Apartment,170 m²,3,3
"Bikfaya, El Metn, Mount Lebanon","$860,000",Residential Building,600 m²,N/A,N/A
"Mar Takla, Baabda, Mount Lebanon","$275,000",Apartment,100 m²,2,2
"Yahchouch, Kesrouane, Mount Lebanon","$185,000",Land,"4,100 m²",N/A,N/A
"Adma, Kesrouane, Mount Lebanon","$200,000",Apartment,155 m²,3,4
"Jbeil, Jbeil, Mount Lebanon","$220,000",Shop,85 m²,1,N/A
"Ayroun, El Metn, Mount Lebanon","$342,500",Land,"1,370 m²",N/A,N/A
"Blat, Jbeil, Mount Lebanon","$125,000",Apartment,145 m²,3,2
"Achrafieh, Beirut, Beirut","$210,000",Apartment,55 m²,1,1
"Achrafieh, Beirut, Beirut","$445,000",Apartment,115 m²,1,1
"Jbeil, Jbeil, Mount Lebanon","$95,000",Shop,100 m²,1,N/A
"Horsh Tabet, El Metn, Mount Lebanon","$930,000",Apartment,330 m²,3,5
"Dbayeh, El Metn, Mount Lebanon","$239,200",Office,92 m²,2,N/A
"Dbayeh, El Metn, Mount Lebanon","$210,600",Office,81 m²,2,N/A
"Dbayeh, El Metn, Mount Lebanon","$192,400",Office,74 m²,2,N/A
"Blat, Jbeil, Mount Lebanon","$1,200,000",Residential Building,"1,410 m²",28,N/A
"Sin El Fil, El Metn, Mount Lebanon","$2,900,000",Land,"1,265 m²",N/A,N/A
"Jbeil, Jbeil, Mount Lebanon","$90,000",Apartment,55 m²,2,N/A
"Jbeil, Jbeil, Mount Lebanon","$55,000",Apartment,68 m²,1,1
"Ras Beirut, Beirut, Beirut","$690,000",Apartment,174 m²,3,3
"Achrafieh, Beirut, Beirut","$1,100,000",Apartment,300 m²,3,3
"Dbayeh, El Metn, Mount Lebanon","$900,000",Land,"1,156 m²",N/A,N/A
"Al Jamhour, Baabda, Mount Lebanon","$650,000",Apartment,310 m²,3,5
"Gharzouz, Jbeil, Mount Lebanon","$355,000",Land,"3,540 m²",N/A,N/A
"Blat, Jbeil, Mount Lebanon","$192,000",Apartment,158 m²,3,3
"Batroun, Batroun, North","$400,000",Apartment,700 m²,3,5
"Blat, Jbeil, Mount Lebanon","$165,000",Apartment,138 m²,3,3
"Batroun, Batroun, North","$88,000",Apartment,70 m²,1,1
"Zouk Mosbeh, Kesrouane, Mount Lebanon","$325,000",Warehouse,600 m²,1,N/A
"Batroun, Batroun, North","$95,000",Apartment,70 m²,1,1
"Baabda, Baabda, Mount Lebanon","$800,000",Apartment,330 m²,4,7
"Baabda, Baabda, Mount Lebanon","$900,000",Apartment,500 m²,4,7
"Jouret Al Ballout, El Metn, Mount Lebanon","$199,000",Apartment,150 m²,3,2
"Jouret Al Ballout, El Metn, Mount Lebanon","$179,000",Apartment,150 m²,3,2
"kfarhbeib, Kesrouane, Mount Lebanon","$250,000",Apartment,171 m²,3,3
"Batroun, Batroun, North","$175,000",Apartment,122 m²,3,3
"Achrafieh, Beirut, Beirut","$460,000",Apartment,230 m²,3,3
"Blat, Jbeil, Mount Lebanon","$135,000",Apartment,127 m²,2,2
"Achrafieh, Beirut, Beirut","$1,120,000",Apartment,373 m²,4,5
"Chekka, Batroun, North","$490,000",Land,"4,469 m²",N/A,N/A
"Batroun, Batroun, North","$105,000",Apartment,125 m²,2,2
"Gharzouz, Jbeil, Mount Lebanon","$160,000",Land,"3,300 m²",N/A,N/A
"Dekweneh, El Metn, Mount Lebanon","$130,000",Office,65 m²,N/A,N/A
"Antelias, El Metn, Mount Lebanon","$3,100,000",Land,"2,217 m²",N/A,N/A
"Monteverde, El Metn, Mount Lebanon","$445,000",Apartment,215 m²,3,5
"Hboub, Jbeil, Mount Lebanon","$115,000",Apartment,118 m²,2,2
"Broumana, El Metn, Mount Lebanon","$250,000",Apartment,140 m²,2,3
"Al Jamhour, Baabda, Mount Lebanon","$340,000",Apartment,210 m²,3,4
"Batroun, Batroun, North","$3,000,000",Commercial Building,"1,773 m²",N/A,N/A
"Rabieh, El Metn, Mount Lebanon","$550,000",Apartment,340 m²,3,4
"okaybe, Kesrouane, Mount Lebanon","$85,000",Apartment,135 m²,2,2
"Mazraat Yachouh, El Metn, Mount Lebanon","$550,000",Apartment,310 m²,4,4
"Sahel Alma, Kesrouane, Mount Lebanon","$160,000",Apartment,250 m²,3,3
"Mazraat Yachouh, El Metn, Mount Lebanon","$650,000",Apartment,320 m²,4,4
"Mazraat Yachouh, El Metn, Mount Lebanon","$650,000",Apartment,320 m²,4,4
"Hboub, Jbeil, Mount Lebanon","$155,000",Apartment,180 m²,3,3
"Jal el Dib, El Metn, Mount Lebanon","$265,000",Apartment,260 m²,4,4
"Halat, Jbeil, Mount Lebanon","$150,000",Apartment,140 m²,3,3
"Hboub, Jbeil, Mount Lebanon","$195,000",Apartment,130 m²,2,2
"Nabey, El Metn, Mount Lebanon","$168,000",Apartment,140 m²,3,2
"Nabey, El Metn, Mount Lebanon","$150,000",Apartment,125 m²,2,2
"Nabey, El Metn, Mount Lebanon","$246,000",Apartment,205 m²,3,3
"Jbeil, Jbeil, Mount Lebanon","$1,600,000",Commercial Building,800 m²,6,N/A
"Mtayleb, El Metn, Mount Lebanon","$680,000",Land,995 m²,N/A,N/A
"Achrafieh, Beirut, Beirut","$1,050,000",Apartment,380 m²,4,5
"Rabweh, El Metn, Mount Lebanon","$730,000",House/Villa,500 m²,4,4
"Achrafieh, Beirut, Beirut","$580,000",Apartment,212 m²,3,2
"Safra, Kesrouane, Mount Lebanon","$85,000",Apartment,105 m²,2,2
"Ghedras, Kesrouane, Mount Lebanon","$120,000",Apartment,240 m²,3,3
"Halat, Jbeil, Mount Lebanon","$50,000",Chalet,32 m²,1,N/A
"Bhorsaf, El Metn, Mount Lebanon","$135,000",Apartment,170 m²,2,2
"Achrafieh, Beirut, Beirut","$1,800,000",Apartment,370 m²,3,4
"Achrafieh, Beirut, Beirut","$2,000,000",Apartment,500 m²,4,5
"Paris  8ème, Paris, France","€240,000",Apartment,24 m²,1,1
"Louaize, Baabda, Mount Lebanon","$750,000",Apartment,427 m²,4,5
"Achrafieh, Beirut, Beirut","$250,000",Office,71 m²,1,N/A
"Zaarour, El Metn, Mount Lebanon","$300,000",Chalet,90 m²,2,2
"kfarhbeib, Kesrouane, Mount Lebanon","$450,000",Apartment,260 m²,3,5
"Mazraat Yachouh, El Metn, Mount Lebanon","$165,000",Warehouse,300 m²,1,N/A
"Fiyadiye, Baabda, Mount Lebanon","$160,000",Apartment,137 m²,2,4
"Down Town, Beirut, Beirut","$1,200,000",Apartment,235 m²,2,3
"Aatchane, El Metn, Mount Lebanon","$209,000",Apartment,130 m²,3,3
"Aatchane, El Metn, Mount Lebanon","$242,500",Apartment,136 m²,3,3
"Aatchane, El Metn, Mount Lebanon","$205,500",Apartment,137 m²,3,3
"Blat, Jbeil, Mount Lebanon","$135,000",Land,760 m²,N/A,N/A
"Baabdat, El Metn, Mount Lebanon","$140,000",Apartment,180 m²,3,3
"Tabarja, Kesrouane, Mount Lebanon","$550,000",Apartment,110 m²,2,2
"Adma, Kesrouane, Mount Lebanon","$2,000,000",Land,"1,901 m²",N/A,N/A
"Jbeil, Jbeil, Mount Lebanon","$135,000",Apartment,120 m²,2,2
"Mastita, Jbeil, Mount Lebanon","$120,000",Apartment,145 m²,3,2
"Hazmieh, Baabda, Mount Lebanon","$2,950,000",Land,"1,107 m²",N/A,N/A
"Achrafieh, Beirut, Beirut","$555,000",Office,222 m²,2,N/A
"Antelias, El Metn, Mount Lebanon","$120,000",Apartment,170 m²,2,3
"New Rawda, El Metn, Mount Lebanon","$125,000",Apartment,150 m²,3,2
"Achrafieh, Beirut, Beirut","$785,000",Office,224 m²,N/A,N/A
"Monteverde, El Metn, Mount Lebanon","$917,600",Land,"1,147 m²",N/A,N/A
"Kaslik, Kesrouane, Mount Lebanon","$215,000",Apartment,160 m²,2,2
"Kfour, Kesrouane, Mount Lebanon","$800,000",Residential Building,800 m²,N/A,N/A
"Aamchit, Jbeil, Mount Lebanon","$90,000",Apartment,138 m²,2,2
"Dik El Mehdi, El Metn, Mount Lebanon","$310,000",Apartment,205 m²,3,3
"Mechmech, Jbeil, Mount Lebanon","$150,000",Land,"2,600 m²",N/A,N/A
"Kfoun, Jbeil, Mount Lebanon","$75,000",Land,"1,500 m²",N/A,N/A
"Batroun, Batroun, North","$1,900,000",Land,"2,638 m²",N/A,N/A
"Monteverde, El Metn, Mount Lebanon","$80,000",Office,60 m²,1,N/A
"Rabweh, El Metn, Mount Lebanon","$600,000",Apartment,300 m²,3,4
"Jal el Dib, El Metn, Mount Lebanon","$90,000",Shop,30 m²,N/A,N/A
"Jal el Dib, El Metn, Mount Lebanon","$60,000",Shop,20 m²,N/A,N/A
"Zalka, El Metn, Mount Lebanon","$320,000",Warehouse,376 m²,N/A,N/A
"Douar, El Metn, Mount Lebanon","$109,000",Apartment,130 m²,3,2
"Mazraat Yachouh, El Metn, Mount Lebanon","$430,000",Apartment,250 m²,3,4
"chnaniir, Kesrouane, Mount Lebanon","$1,500,000",Land,"10,000 m²",N/A,N/A
"Adma, Kesrouane, Mount Lebanon","$15,000,000",Land,"10,000 m²",N/A,N/A
"Ghazir, Kesrouane, Mount Lebanon","$2,500,000",Land,"2,791 m²",N/A,N/A
"Achrafieh, Beirut, Beirut","$900,000",Apartment,280 m²,3,4
"Adma, Kesrouane, Mount Lebanon","$1,500,000",Land,"1,004 m²",N/A,N/A
"Aitat, Aley, Mount Lebanon","$430,000",Land,"3,460 m²",N/A,N/A
"Achrafieh, Beirut, Beirut","$500,000",Apartment,150 m²,2,3
"Bouchrieh, El Metn, Mount Lebanon","$270,000",Apartment,330 m²,3,3
"Ras Beirut, Beirut, Beirut","$850,000",Apartment,350 m²,3,3
"Batroun, Batroun, North","$105,000",Apartment,150 m²,3,2
"Batroun, Batroun, North","$175,000",Apartment,175 m²,3,3
"Jeita, Kesrouane, Mount Lebanon","$475,000",Land,"1,030 m²",N/A,N/A
"Adma, Kesrouane, Mount Lebanon","$760,000",Land,"1,080 m²",N/A,N/A
"Adma, Kesrouane, Mount Lebanon","$720,000",Land,"1,021 m²",N/A,N/A
"Baabda, Baabda, Mount Lebanon","$850,000",Apartment,300 m²,3,5
"Ras Beirut, Beirut, Beirut","$795,000",Apartment,280 m²,3,3
"Monteverde, El Metn, Mount Lebanon","$820,000",Apartment,486 m²,4,7
"Bikfaya, El Metn, Mount Lebanon","$814,000",Land,"3,700 m²",N/A,N/A
"Jbeil, Jbeil, Mount Lebanon","$212,000",Land,"3,255 m²",N/A,N/A
"Chabtine, Batroun, North","$100,000",Land,"1,280 m²",N/A,N/A
"Zouk Mikael, Kesrouane, Mount Lebanon","$156,000",Apartment,130 m²,2,2
"Halat, Jbeil, Mount Lebanon","$165,000",Apartment,180 m²,3,4
"Fatqa, Kesrouane, Mount Lebanon","$1,300,000",Land,"4,200 m²",N/A,N/A
"Jal el Dib, El Metn, Mount Lebanon","$175,000",Apartment,130 m²,3,3
"Ras Beirut, Beirut, Beirut","$155,000",Warehouse,140 m²,N/A,N/A
"Zouk Mosbeh, Kesrouane, Mount Lebanon","$500,000",Shop,500 m²,2,N/A
"Ghadir, Kesrouane, Mount Lebanon","$4,600,000",Land,"6,019 m²",3,3
"Batroun, Batroun, North","$255,000",Land,"1,279 m²",N/A,N/A
"Ain Saadeh, El Metn, Mount Lebanon","$325,000",Apartment,200 m²,4,4
"Ras Beirut, Beirut, Beirut","$1,200,000",Apartment,323 m²,4,5
"Sin El Fil, El Metn, Mount Lebanon","$96,000",Office,96 m²,1,N/A
"Zouk Mikael, Kesrouane, Mount Lebanon","$175,000",Office,115 m²,3,N/A
"Mreijat, Zahle, Bekaa","$220,000",Land,900 m²,N/A,N/A
"Ras Beirut, Beirut, Beirut","$800,000",Office,256 m²,3,N/A
"Ajaltoun, Kesrouane, Mount Lebanon","$350,000",Land,835 m²,N/A,N/A
"Monteverde, El Metn, Mount Lebanon","$400,000",Apartment,200 m²,3,4
"Horsh Tabet, El Metn, Mount Lebanon","$110,000",Office,50 m²,1,N/A
"Batroun, Batroun, North","$140,000",Office,75 m²,N/A,N/A
"Batroun, Batroun, North","$233,000",Warehouse,125 m²,N/A,N/A
"Batroun, Batroun, North","$365,000",Warehouse,195 m²,N/A,N/A
"Batroun, Batroun, North","$112,000",Office,60 m²,N/A,N/A
"Batroun, Batroun, North","$832,000",Office,83 m²,N/A,N/A
"Batroun, Batroun, North","$820,000",Shop,255 m²,N/A,N/A
"Batroun, Batroun, North","$109,000",Office,58 m²,N/A,N/A
"Batroun, Batroun, North","$230,000",Shop,72 m²,N/A,N/A
"Batroun, Batroun, North","$165,000",Office,88 m²,N/A,N/A
"Batroun, Batroun, North","$235,000",Apartment,125 m²,2,3
"Ain Saadeh, El Metn, Mount Lebanon","$410,000",Apartment,315 m²,2,3
"Ain Saadeh, El Metn, Mount Lebanon","$390,000",Apartment,350 m²,3,4
"Fakra, Kesrouane, Mount Lebanon","$900,000",Land,800 m²,N/A,N/A
"Achrafieh, Beirut, Beirut","$450,000",Apartment,185 m²,3,3
